"Количество отвердителя, м.%","Содержание эпоксидных групп, %","Температура вспышки, С","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки,"Плотность, кг/м3","Поверхностная плотность, г/м2","Модуль упругости, ГПа",Соотношение матрица-наполнитель,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа"
30.0,22.2678571428571,100.0,220.0,0.0,4.0,57.0,2030.0,210.0,738.736842105263,1.85714285714285,70.0,3000.0
50.0,23.75,284.615384615384,220.0,0.0,4.0,60.0,2030.0,210.0,738.736842105263,1.85714285714285,70.0,3000.0
49.9,33.0,284.615384615384,220.0,0.0,4.0,70.0,2030.0,210.0,738.736842105263,1.85714285714285,70.0,3000.0
129.0,21.25,300.0,220.0,0.0,5.0,47.0,2030.0,210.0,738.736842105263,1.85714285714285,70.0,3000.0
111.86,22.2678571428571,284.615384615384,220.0,0.0,5.0,57.0,2030.0,210.0,753.0,2.77133105802047,70.0,3000.0
111.86,22.2678571428571,284.615384615384,220.0,0.0,5.0,60.0,2000.0,210.0,748.0,2.7679180887372,70.0,3000.0
111.86,22.2678571428571,284.615384615384,220.0,0.0,5.0,70.0,1910.0,210.0,807.0,2.56962025316455,70.0,3000.0
111.86,22.2678571428571,284.615384615384,120.0,0.0,7.0,47.0,1900.0,380.0,535.0,2.56147540983606,75.0,1800.0
129.0,21.25,300.0,120.0,0.0,7.0,57.0,1930.0,380.0,889.0,3.55701754385964,75.0,1800.0
129.0,21.25,300.0,300.0,0.0,7.0,60.0,2100.0,1010.0,1421.0,3.53233830845771,78.0,2000.0
129.0,21.25,300.0,300.0,0.0,7.0,70.0,2160.0,1010.0,933.0,2.91967783631954,78.0,2000.0
129.0,21.25,300.0,300.0,0.0,9.0,47.0,1990.0,1010.0,1628.0,2.87735849056603,78.0,2000.0
129.0,21.25,300.0,220.0,0.0,9.0,57.0,1950.0,470.0,827.0,1.59817351598173,73.3333333333333,2455.55555555555
129.0,21.25,300.0,220.0,0.0,9.0,60.0,1980.0,470.0,568.0,2.91967783631954,73.3333333333333,2455.55555555555
129.0,21.25,300.0,220.0,0.0,9.0,70.0,1910.0,470.0,800.0,4.02912621359223,73.3333333333333,2455.55555555555
129.0,21.25,300.0,220.0,0.0,10.0,47.0,2030.0,210.0,302.0,2.93478260869565,70.0,3000.0
129.0,21.25,300.0,220.0,0.0,10.0,57.0,1880.0,210.0,313.0,3.55701754385964,70.0,3000.0
129.0,21.25,300.0,120.0,0.0,10.0,60.0,1950.0,380.0,506.0,4.19354838709677,75.0,1800.0
129.0,21.25,300.0,120.0,0.0,10.0,70.0,1890.0,380.0,540.0,4.89795918367346,75.0,1800.0
